1920x1080,1224x689,60,9,2.05 √Î,2.30 √Î,µÕ—”≥Ÿ,6099 Kbps
1920x1080,1224x689,60,9,2.09 √Î,2.30 √Î,µÕ—”≥Ÿ,6099 Kbps
1920x1080,1224x689,60,10,2.04 √Î,2.28 √Î,µÕ—”≥Ÿ,9360 Kbps
1920x1080,1224x689,60,10,2.09 √Î,2.28 √Î,µÕ—”≥Ÿ,9360 Kbps
1920x1080,1224x689,58,10,2.09 √Î,2.29 √Î,µÕ—”≥Ÿ,8609 Kbps
1920x1080,1224x689,59,10,2.05 √Î,2.29 √Î,µÕ—”≥Ÿ,8609 Kbps
1920x1080,1224x689,57,10,2.04 √Î,2.29 √Î,µÕ—”≥Ÿ,9009 Kbps
1920x1080,1224x689,60,10,2.10 √Î,2.29 √Î,µÕ—”≥Ÿ,8395 Kbps
1920x1080,1224x689,60,10,2.10 √Î,2.29 √Î,µÕ—”≥Ÿ,8395 Kbps
1920x1080,1224x689,60,10,2.09 √Î,2.29 √Î,µÕ—”≥Ÿ,8291 Kbps
1920x1080,1224x689,64,11,2.05 √Î,2.29 √Î,µÕ—”≥Ÿ,8291 Kbps
1920x1080,1224x689,60,11,2.05 √Î,2.28 √Î,µÕ—”≥Ÿ,7713 Kbps
1920x1080,1224x689,59,11,2.05 √Î,2.28 √Î,µÕ—”≥Ÿ,7713 Kbps
1920x1080,1224x689,60,11,1.22 √Î,2.29 √Î,µÕ—”≥Ÿ,7713 Kbps
1920x1080,1224x689,7,11,1.61 √Î,4.63 √Î,µÕ—”≥Ÿ,8347 Kbps
1920x1080,1224x689,60,11,1.59 √Î,4.63 √Î,µÕ—”≥Ÿ,7861 Kbps
1280x720,1224x689,60,16,1.62 √Î,4.65 √Î,µÕ—”≥Ÿ,7861 Kbps
1280x720,1224x689,60,16,4.46 √Î,4.65 √Î,µÕ—”≥Ÿ,8324 Kbps
1920x1080,1224x689,52,16,4.42 √Î,4.65 √Î,µÕ—”≥Ÿ,7970 Kbps
1920x1080,1224x689,60,16,4.47 √Î,4.65 √Î,µÕ—”≥Ÿ,7970 Kbps
1920x1080,1224x689,56,16,4.41 √Î,4.67 √Î,µÕ—”≥Ÿ,6416 Kbps
1920x1080,1224x689,60,16,4.42 √Î,4.65 √Î,µÕ—”≥Ÿ,9737 Kbps
1920x1080,1224x689,60,17,4.47 √Î,4.65 √Î,µÕ—”≥Ÿ,9737 Kbps
1920x1080,1224x689,62,17,4.42 √Î,4.65 √Î,µÕ—”≥Ÿ,8244 Kbps
