 ”∆µ∑÷±Ê¬ ,œ‘ æ∑÷±Ê¬ ,FPS,Ã¯÷° ˝,ª∫≥Â«¯¥Û–°,÷±≤•’ﬂ—”≥Ÿ,—”≥Ÿƒ£ Ω,ªÿ∑≈ÀŸ¬ 
1920x1080,956x538,60,1,7.48 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6460 Kbps
1920x1080,956x538,62,1,6.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6460 Kbps
1920x1080,956x538,58,1,7.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5945 Kbps
1920x1080,956x538,59,1,6.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,6273 Kbps
1920x1080,956x538,62,1,6.48 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6273 Kbps
1920x1080,956x538,58,1,7.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5867 Kbps
1920x1080,956x538,61,1,6.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5867 Kbps
1920x1080,956x538,59,1,7.49 √Î,8.57 √Î,“ª∞„—”≥Ÿ,5791 Kbps
1920x1080,956x538,62,1,6.50 √Î,8.57 √Î,“ª∞„—”≥Ÿ,6100 Kbps
1920x1080,956x538,59,1,6.49 √Î,8.57 √Î,“ª∞„—”≥Ÿ,6100 Kbps
1920x1080,956x538,61,1,7.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5806 Kbps
1920x1080,956x538,59,1,6.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5806 Kbps
1920x1080,956x538,60,1,6.76 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5761 Kbps
1920x1080,956x538,58,1,6.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,6523 Kbps
1920x1080,956x538,61,1,6.50 √Î,8.60 √Î,“ª∞„—”≥Ÿ,6523 Kbps
1920x1080,956x538,57,1,7.49 √Î,8.58 √Î,“ª∞„—”≥Ÿ,5549 Kbps
1920x1080,956x538,61,1,6.48 √Î,8.58 √Î,“ª∞„—”≥Ÿ,5549 Kbps
1920x1080,956x538,59,1,7.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6049 Kbps
1920x1080,956x538,57,1,6.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6049 Kbps
1920x1080,956x538,60,1,7.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5881 Kbps
1920x1080,956x538,62,1,6.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,5881 Kbps
1920x1080,956x538,65,1,6.50 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6005 Kbps
1920x1080,956x538,64,1,7.26 √Î,8.57 √Î,“ª∞„—”≥Ÿ,6891 Kbps
1920x1080,956x538,61,1,6.49 √Î,8.57 √Î,“ª∞„—”≥Ÿ,6891 Kbps
1920x1080,956x538,66,1,7.22 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5708 Kbps
1920x1080,956x538,62,1,6.49 √Î,8.60 √Î,“ª∞„—”≥Ÿ,5708 Kbps
1920x1080,956x538,65,1,7.50 √Î,8.58 √Î,“ª∞„—”≥Ÿ,6215 Kbps
1920x1080,956x538,65,1,6.48 √Î,8.58 √Î,“ª∞„—”≥Ÿ,6215 Kbps
1920x1080,956x538,60,1,7.49 √Î,8.59 √Î,“ª∞„—”≥Ÿ,6349 Kbps
